"","gene_short_name","Noggin-TXP_2","Noggin-TXP_1","Noggin-TXP_0","BMP-TXP_0","BMP-TXP_2","BMP-TXP_1","adult-SI_3","adult-SI_2","adult-SI_0","adult-SI_1","adult-SI_4","adult-colon_2","adult-colon_1","adult-colon_0","EGF-TXP_0","EGF-TXP_1","EGF-TXP_2"
"ZNF253","ZNF253",72.1168,50.5704,56.2067,29.2958,62.8943,59.3826,72.381,70.7846,73.4796,70.0813,118.659,136.959,73.6055,165.266,96.6447,57.4659,90.9985
"ZNF254","ZNF254",46.2636,31.8406,31.0106,57.5065,55.0326,47.1568,124.916,98.5608,233.406,149.273,187.305,221.013,183.475,228.711,52.2193,26.2701,31.4995
"ZNF256","ZNF256",58.5099,33.7136,44.5778,54.2514,33.4126,71.6084,43.1951,52.8644,49.7068,42.0488,57.8586,39.0604,41.65,17.908,51.4399,60.7497,34.9994
"ZNF257","ZNF257",0,0,0,0,0,0,11.6744,21.5042,3.24175,5.6065,11.7679,21.0135,7.36055,18.9314,0,0,0
"ZNF26","ZNF26",0,0,0,0,0,0,1.16744,0,0,0,0,0.247218,0,0,0,0,0
"ZNF260","ZNF260",176.89,280.947,188.002,182.285,183.769,190.374,210.138,209.666,217.197,200.433,191.228,229.665,214.533,247.643,77.9393,129.709,87.4986
"ZNF263","ZNF263",654.494,657.416,668.666,559.875,521.827,681.153,176.283,212.354,213.955,179.408,269.68,224.968,203.223,240.479,642.999,630.483,822.487
"ZNF264","ZNF264",134.709,108.633,91.0937,104.163,159.201,124.005,200.799,157.697,209.633,182.211,178.479,261.062,198.196,278.854,38.1903,62.3916,41.9993
"ZNF266","ZNF266",586.459,726.716,657.037,597.851,546.395,702.112,340.891,559.109,382.526,524.909,333.423,420.517,261.389,366.347,547.913,403.903,437.493
"ZNF267","ZNF267",25.8532,5.61894,5.81449,23.8706,25.5508,27.9448,215.976,193.538,143.717,173.101,192.208,177.502,210.584,189.314,30.3963,27.912,13.9998
"ZNF268","ZNF268",69.3954,121.744,102.723,126.948,135.616,134.484,157.604,215.042,215.036,185.715,199.073,258.342,246.489,260.434,73.2629,141.202,48.9992
"ZNF271P","ZNF271P",254.45,254.725,166.682,268.002,225.044,279.448,289.524,254.466,267.984,262.104,246.144,310.011,298.551,313.646,262.655,254.492,318.495
"ZNF273","ZNF273",14.9676,0,5.81449,9.76525,7.86179,15.7189,36.1905,37.6323,43.2233,43.4504,43.1488,52.6574,40.5728,45.5376,5.45575,8.20942,0
"ZNF274","ZNF274",235.4,192.917,205.445,143.224,178.856,99.5532,222.98,299.266,291.757,229.867,175.537,172.558,194.426,140.194,303.184,292.255,293.995
"ZNF275","ZNF275",149.676,80.5381,87.2174,128.033,136.599,83.8343,208.971,221.314,225.842,248.088,240.26,274.659,257.081,355.091,70.1454,95.2292,73.4988
"ZNF276","ZNF276",265.335,262.217,414.767,279.937,241.75,281.194,452.965,372.739,499.229,342.698,405.01,193.571,191.733,164.242,303.963,200.31,339.494
"ZNF277","ZNF277",93.8879,88.03,94.97,98.7376,132.668,90.8204,252.166,188.162,209.633,190.621,315.771,266.748,222.432,265.039,112.233,106.722,73.4988
"ZNF28","ZNF28",95.2486,76.7921,69.7739,70.5268,106.134,59.3826,200.799,180.993,157.765,201.834,160.827,284.3,190.656,291.645,26.4994,65.6753,24.4996
"ZNF280A","ZNF280A",0,0,0,0,0,0,0,0,0,0,0,0.494435,0,0,0,0,0
"ZNF280B","ZNF280B",13.6069,11.2379,15.5053,13.0203,14.7409,12.2258,22.1813,19.7122,14.0476,13.3154,16.6711,14.0914,14.7211,24.5596,10.1321,21.3445,3.49994
"ZNF280C","ZNF280C",20.4104,11.2379,1.93816,27.1257,10.81,22.7051,84.0553,61.8245,33.498,50.4585,51.9747,56.3656,48.6515,41.4443,7.79393,9.8513,17.4997
"ZNF280D","ZNF280D",78.9203,37.4596,32.9488,60.7616,70.7561,66.3688,374.747,358.403,461.409,401.566,349.113,429.664,411.832,399.093,65.469,55.824,80.4987
"ZNF281","ZNF281",57.1492,80.5381,73.6502,74.867,80.5834,90.8204,217.143,179.201,242.05,173.101,225.551,216.81,191.195,231.269,49.8811,65.6753,48.9992
"ZNF282","ZNF282",527.95,633.067,1038.86,653.187,666.287,468.075,238.157,196.226,216.116,210.244,299.1,246.97,215.61,272.714,779.393,756.908,843.486
